caldt,vwretd
20030522,0.009242893
20030523,0.001543942
20030527,0.01969746
20030528,0.002053338
20030529,-0.003851202
20030530,0.01492471
20030602,0.003331603
20030603,0.004839502
20030604,0.01526541
20030605,0.004117348
20030606,-0.002471637
20030609,-0.01182505
20030610,0.009157323
20030611,0.01318325
20030612,0.0009750783
20030613,-0.01000762
20030616,0.02241293
20030617,0.001095054
20030618,-0.001437047
20030619,-0.01510378
20030620,0.001001484
20030623,-0.0142337
20030624,0.001989886
20030625,-0.008160591
20030626,0.01094883
20030627,-0.009801779
20030630,-0.001558956
20030701,0.008154302
20030702,0.01161077
20030703,-0.007890412
20030707,0.01874845
20030708,0.003560013
20030709,-0.005333826
20030710,-0.01337467
20030711,0.009603997
20030714,0.006047419
20030715,-0.003804721
20030716,-0.006112349
20030717,-0.01231687
20030718,0.01172372
20030721,-0.01463657
20030722,0.009649799
20030723,0.0007779566
20030724,-0.007270915
20030725,0.01746719
20030728,-0.002173507
20030729,-0.00728989
20030730,-0.001567101
20030731,0.003176583
20030801,-0.01025177
20030804,0.00272794
20030805,-0.01764405
20030806,0.001924483
20030807,0.007343469
20030808,0.003572235
20030811,0.003207981
20030812,0.01011078
20030813,-0.006114972
20030814,0.006488467
20030815,0.0004179353
20030818,0.009330281
20030819,0.002734876
20030820,-0.002009016
20030821,0.003015113
20030822,-0.01019017
20030825,0.00065754
20030826,0.002992549
20030827,0.0003336066
20030828,0.006119131
20030829,0.005269704
20030902,0.01394129
20030903,0.004405072
20030904,0.001619019
20030905,-0.006311154
20030908,0.01019454
20030909,-0.008490034
20030910,-0.01168633
20030911,0.005713259
20030912,0.002236398
20030915,-0.003639644
20030916,0.01411402
20030917,-0.003230672
20030918,0.01332833
20030919,-0.002951416
20030922,-0.01325583
20030923,0.00598304
20030924,-0.01888123
20030925,-0.005729026
20030926,-0.006389731
20030929,0.0095707
20030930,-0.01038248
20031001,0.02205632
20031002,0.002431965
20031003,0.009289613
20031006,0.004461073
20031007,0.00469387
20031008,-0.004692253
20031009,0.004844457
20031010,-0.000768521
20031013,0.006812115
20031014,0.003897598
20031015,-0.002594453
20031016,0.003123713
20031017,-0.01013246
20031020,0.005170898
20031021,0.001331577
20031022,-0.0148019
20031023,0.003228513
20031024,-0.004808795
20031027,0.002041803
20031028,0.01516047
20031029,0.001574259
20031030,-0.000916089
20031031,0.003389577
20031103,0.008193588
20031104,-0.005460604
20031105,-0.001015948
20031106,0.005769774
