YEAR,SPINDEX,DIFFINDEX,LNSPINDEX,DIFFLNSP
1988.166667,258.8900147,11.81001282,5.556403318,0.046691139
1988.416667,273.5,14.60998535,5.611301622,0.054898304
1988.666667,271.9100037,-1.58999634,5.605471143,-0.005830479
1988.916667,277.7200012,5.80999756,5.626613416,0.021142274
1989.166667,294.8699951,17.1499939,5.686534565,0.059921148
1989.416667,317.980011,23.11001587,5.761988522,0.075453958
1989.666667,349.1499939,31.16998291,5.855501612,0.09351309
1989.916667,353.3999939,4.25,5.867600543,0.012098931
1990.166667,339.9400024,-13.45999146,5.828769139,-0.038831404
1990.416667,358.019989,18.07998657,5.88058882,0.051819681
1990.666667,306.0499878,-51.97000122,5.723748447,-0.156840373
1990.916667,330.2200012,24.17001343,5.799759103,0.076010655
1991.166667,375.2200012,45,5.927512524,0.127753421
1991.416667,371.1600037,-4.05999756,5.916633246,-0.010879278
1991.666667,387.8599854,16.69998169,5.960644412,0.044011166
1991.916667,417.0899963,29.23001099,6.033302017,0.072657605
1992.166667,403.6900024,-13.3999939,6.000647263,-0.032654754
1992.416667,408.1400147,4.45001221,6.011610289,0.010963026
1992.666667,417.7999878,9.65997314,6.03500282,0.023392531
1992.916667,435.7099915,17.91000367,6.076976865,0.041974045
1993.166667,451.6700134,15.96002197,6.112951854,0.03597499
1993.416667,450.5299988,-1.14001465,6.110424665,-0.00252719
1993.666667,458.9299927,8.3999939,6.128897677,0.018473012
1993.916667,466.4500122,7.52001953,6.14515086,0.016253183
1994.166667,445.769989,-20.6800232,6.099803099,-0.04534776
1994.416667,444.269989,-1.5,6.096432461,-0.003370638
1994.666667,462.7099915,18.44000245,6.137100489,0.040668029
1994.916667,459.269989,-3.44000245,6.129638248,-0.007462241
1995.166667,500.7099915,41.44000245,6.216027074,0.086388826
1995.416667,544.75,44.04000854,6.300326974,0.0842999
1995.666667,584.4099731,39.65997314,6.370602745,0.070275772
1995.916667,615.9299927,31.52001954,6.423133309,0.052530563
1996.166667,645.5,29.57000732,6.47002521,0.046891901
1996.416667,670.6300049,25.13000488,6.508217576,0.038192366
1996.666667,687.3099976,16.67999268,6.532785424,0.024567848
1996.916667,740.7399902,53.42999267,6.607649673,0.074864249
1997.166667,757.1199951,16.38000489,6.629521755,0.021872082
1997.416667,885.1400147,128.0200195,6.785745841,0.156224086
1997.666667,947.2800293,62.14001465,6.853594751,0.06784891
1997.916667,970.4299927,23.14996338,6.877739265,0.024144514
1998.166667,1101.75,131.3200073,7.004655104,0.126915839
